ID ANIMAL,NOMBRE ANIMAL,NOMBRE_CIENTIFICO
144,rana de hojarasca austral,Eupsophus calcaratus
145,sapo de Contulmo,Eupsophus contulmoensis
146,rana de hojarasca de parpados verdes,Eupsophus emiliopugini
147,sapo de Isla Mocha,Eupsophus insularis
148,sapo de Miguel,Eupsophus migueli
149,sapo de Nahuelbuta,Eupsophus nahuelbutensis
150,sapo,Eupsophus roseus
151,ranita de Los Queules,Eupsophus septentrionalis
152,sapo,Eupsophus vertebralis
153,halcon peregrino,Falco peregrinus
154,cernicalo de Juan Fernandez,Falco sparverius fernandenzis
155,orca pigmea,Feresa attenuata
156,caracol terrestre de Juan Fernandez,Fernandezia bulimoides 
157,caracol terrestre de Juan Fernandez,Fernandezia conifera
158,caracol terrestre de Juan Fernandez,Fernandezia consimilis 
159,caracol terrestre de Juan Fernandez,Fernandezia cylindrella
160,caracol terrestre de Juan Fernandez,Fernandezia diaphana 
161,caracol terrestre de Juan Fernandez,Fernandezia expansa 
162,caracol terrestre de Juan Fernandez,Fernandezia inornata 
163,caracol terrestre de Juan Fernandez,Fernandezia longa 
164,caracol terrestre de Juan Fernandez,Fernandezia philippiana 
165,caracol terrestre de Juan Fernandez,Fernandezia splendida 
166,caracol terrestre de Juan Fernandez,Fernandezia tryoni
167,caracol terrestre de Juan Fernandez,Fernandezia wilsoni 
168,ave fragata grande,Fregata minor
169,golondrina de mar de vientre blanco,Fregetta grallaria
170,tagua cornuda,Fulica cornuta
171,tagua gigante,Fulica gigantea
172,puye,Galaxias globiceps
173,puye,Galaxias maculatus
174,puye,Galaxias platei
175,cuy serrano,Galea musteloides
176,quique,Galictis cuja
177,becacina,Gallinago paraguaiae
178,lamprea de bolsa,Geotria australis
179,raton topo chico,Geoxus valdivianus
180,calderon de aleta corta,Globicephala macrorhynchus
181,calderon negro,Globicephala melas
182,falso calderon,Grampus griseus
183,vaquita del desierto de Paposo,Gyriosomus angustus
184,vaquita de la Isla Choros- vaquita del desierto ,Gyriosomus granulipennis
185,bagre,Hatcheria macraei
186,pato rinconero,Heteronetta atricapilla
187,taruca,Hippocamelus antisensis
188,huemul,Hippocamelus bisulcus
189,salamanqueja del norte chico,Homonota gaudichaudi
190,,Homonota penai
191,foca leopardo,Hydrurga leptonyx
192,rana arborea,Hylorina sylvatica
193,ballena nariz de botella del sur,Hyperodon planifrons
194,sapo ,Insuetophrynus acarpicus
195,rata arborea,Irenomys tarsalis
196,huairavillo,Ixobrychus involucris
197,cachalote enano de cabeza corta- cachalote pigmeo,Kogia breviceps
198,cachalote enano dentado,Kogia sima
199,delfin austral,Lagenorhynchus australis
200,delfin cruzado,Lagenorhynchus cruciger
201,delfin obscuro,Lagenorhynchus obscurus
202,vizcacha,Lagidium viscacia
203,vizcacha austral,Lagidium wolffsohni
204,guanaco,Lama guanicoe
205,gaviotin monja,Larosterna inca
206,gaviota garuma,Larus modestus
207,gaviota andina,Larus serranus
208,pidencito,Laterallus jamaicensis
209,colo-colo,Leopardus colocolo
210,gato montes argentino,Leopardus geoffroyi
211,güina,Leopardus guigna
212,tortuga olivacea,Lepidochelys olivacea
213,pez aguja,Leptonotus blainvillianus
214,foca de Weddell,Leptonychotes weddelli
215,lagartija rayada nortina,Liolaemus alticolor
216,lagartija patagonica,Liolaemus archeforus
217,lagartija de Atacama,Liolaemus atacamensis
218,dragon de oido cubierto,Liolaemus audituvelata
219,lagartija parda,Liolaemus bellii
220,lagartija patagonica de Bibron,Liolaemus bibroni
221,lagartija de dos manchas,Liolaemus bisignatus
222,lagartija de Boulenger,Liolaemus boulengeri
223,lagartija de Bürger,Liolaemus buergeri
224,lagarto de Cei,Liolaemus ceii 
225,lagarto chileno,Liolaemus chiliensis
226,lagartija de Constanza,Liolaemus constanzae
227,lagartija de Copiapo,Liolaemus copiapoensis
228,lagartija de Cristian,Liolaemus cristiani
229,lagartija de Curico,Liolaemus curicensis
230,lagarto negro,Liolaemus curis
231,lagartija de vientre azul,Liolaemus cyanogaster
232,lagartija de Donoso,Liolaemus donosoi
233,lagarto de d'Orbigny,Liolaemus dorbignyi
234,lagartija de Eleodoro,Liolaemus eleodori
235,dragon grande,Liolaemus erroneus
236,lagartija de Fabian,Liolaemus fabiani
237,lagartija de Fitzgerald,Liolaemus fitzgeraldi
238,lagartija de Fitzinger,Liolaemus fitzingerii 
239,lagartija oscura,Liolaemus fuscus
240,lagartija de Gravenhorst ,Liolaemus gravenhorsti
241,lagartija de Hellmich,Liolaemus hellmichi
242,lagartija de Hernan,Liolaemus hernani
243,lagartija de Isabel,Liolaemus isabelae
244,lagartija de Isluga,Liolaemus islugensis
245,jararanco de James,Liolaemus jamesi 
246,lagartija de Ortiz,Liolaemus juanortizi
247,lagarto de King,Liolaemus kingi
248,lagarto de Krieg,Liolaemus kriegi
249,lagarto de Kuhlmann,Liolaemus kuhlmanni
250,lagartija lemniscata,Liolaemus lemniscatus
251,lagarto leopardo,Liolaemus leopardinus
252,lagartija de lineas blancas,Liolaemus lineomaculatus
253,lagarto de Müller,Liolaemus lorenzmuelleri
